lootid,score,rare
6842,675,1
7782,698,2
6072,707,3
480,708,4
6230,743,5
5555,783,6
138,830,7
7658,948,8
625,957,9
4323,964,10
4804,970,11
3652,988,12
2078,1004,13
696,1006,14
1335,1013,15
6422,1015,16
6950,1016,17
2964,1018,18
667,1026,19
4910,1030,20
6001,1030,21
964,1031,22
2478,1041,23
3104,1054,24
6112,1073,25
1076,1074,26
1529,1074,27
3465,1076,28
6390,1079,29
7002,1081,30
4536,1082,31
7881,1083,32
3811,1085,33
3043,1092,34
1619,1093,35
2152,1093,36
7110,1096,37
580,1100,38
4208,1104,39
4736,1104,40
5887,1120,41
5370,1122,42
832,1123,43
3686,1124,44
362,1132,45
1207,1149,46
3498,1149,47
3186,1156,48
2870,1157,49
7698,1162,50
4142,1175,51
808,1176,52
7553,1178,53
723,1180,54
3622,1195,55
2237,1233,56
2422,1242,57
315,1254,58
677,1257,59
944,1257,60
6262,1265,61
3920,1271,62
4792,1281,63
5768,1285,64
1087,1286,65
2868,1291,66
5052,1291,67
6109,1294,68
2780,1297,69
3915,1301,70
1071,1303,71
2823,1306,72
3485,1307,73
5012,1311,74
939,1321,75
3745,1321,76
3825,1322,77
1904,1324,78
1160,1325,79
6558,1329,80
5848,1331,81
134,1333,82
3012,1334,83
517,1337,84
2902,1337,85
5954,1338,86
6352,1344,87
2612,1346,88
4077,1346,89
5607,1349,90
7038,1350,91
6089,1353,92
5576,1354,93
7684,1354,94
7371,1355,95
1557,1356,96
1692,1356,97
6306,1359,98
429,1363,99
4612,1364,100
6548,1367,101
3704,1368,102
2932,1373,103
6691,1373,104
2123,1374,105
6601,1374,106
7843,1374,107
1893,1377,108
7636,1379,109
3288,1381,110
1452,1385,111
7489,1388,112
5646,1391,113
6874,1391,114
1368,1393,115
1682,1393,116
4372,1393,117
337,1399,118
6360,1399,119
2194,1400,120
7594,1402,121
1077,1404,122
1213,1405,123
569,1407,124
1483,1407,125
5083,1407,126
5388,1411,127
1510,1412,128
2818,1412,129
7056,1412,130
6709,1414,131
2965,1415,132
4182,1418,133
7298,1418,134
7955,1418,135
1797,1419,136
1965,1421,137
2435,1424,138
3378,1427,139
5661,1427,140
7085,1427,141
524,1428,142
2616,1428,143
3174,1429,144
4673,1431,145
5400,1431,146
6545,1431,147
5496,1433,148
3471,1435,149
7673,1436,150
1592,1437,151
3861,1443,152
2064,1447,153
3813,1447,154
5229,1450,155
1225,1451,156
4361,1451,157
2683,1453,158
1808,1455,159
7864,1457,160
6188,1459,161
7034,1468,162
7710,1469,163
826,1470,164
3329,1470,165
1340,1472,166
6526,1473,167
5039,1474,168
3760,1476,169
918,1477,170
3441,1478,171
7133,1480,172
7160,1481,173
7220,1482,174
876,1483,175
1513,1483,176
7112,1486,177
5708,1489,178
4619,1492,179
6451,1495,180
1857,1498,181
5093,1501,182
